2001:df0:d9:200::/64,whitelist,office365,common
2603:1006::/40,whitelist,office365,exchange
2603:1010:200::c7/128,whitelist,office365,common
2603:1010:2::cb/128,whitelist,office365,common
2603:1016::/40,whitelist,office365,exchange
2603:1020:0:7::19c/128,whitelist,office365,common
2603:1020:0:7::4e1/128,whitelist,office365,common
2603:1020:200::682f:a0fd/128,whitelist,office365,common
2603:1020:200::682f:a1d8/128,whitelist,office365,common
2603:1020:201:2::/64,whitelist,office365,common
2603:1020:201:3::/64,whitelist,office365,common
2603:1020:201:9::c6/128,whitelist,office365,common
2603:1020:201::3c4/128,whitelist,office365,common
2603:1020:201::5f2/128,whitelist,office365,common
2603:1020:201:a::2b1/128,whitelist,office365,common
2603:1020:300::33/128,whitelist,office365,common
2603:1020:400::26/128,whitelist,office365,common
2603:1020:600::1d3/128,whitelist,office365,common
2603:1020:600::21f/128,whitelist,office365,common
2603:1020:600::a1/128,whitelist,office365,common
2603:1020:700::1cb/128,whitelist,office365,common
2603:1020:700::215/128,whitelist,office365,common
2603:1020:700::a2/128,whitelist,office365,common
2603:1020:800:2::6/128,whitelist,office365,common
2603:1020:900::8/128,whitelist,office365,common
2603:1026:200::/39,whitelist,office365,exchange
2603:1026:400::/39,whitelist,office365,exchange
2603:1026:600::/44,whitelist,office365,exchange
2603:1026:620::/44,whitelist,office365,exchange
2603:1026:630::/44,whitelist,office365,sharepoint
2603:1026:800::/44,whitelist,office365,exchange
2603:1026:820::/45,whitelist,office365,exchange
2603:1026:830::/44,whitelist,office365,sharepoint
2603:1026::/40,whitelist,office365,exchange
2603:1027::/48,whitelist,office365,skype
2603:1029:100::/48,whitelist,office365,skype
2603:1030:1000::21a/128,whitelist,office365,common
2603:1030:603::3c9/128,whitelist,office365,common
2603:1030:603::6a/128,whitelist,office365,common
2603:1030:603::72/128,whitelist,office365,common
2603:1030:7::749/128,whitelist,office365,common
2603:1030:800:5::bfee:ad3c/128,whitelist,office365,common
2603:1030:a02::118/128,whitelist,office365,common
2603:1030:a02::367/128,whitelist,office365,common
2603:1030:f00::17/128,whitelist,office365,common
2603:1036:200::/40,whitelist,office365,exchange
2603:1036:400::/40,whitelist,office365,exchange
2603:1036:600::/40,whitelist,office365,exchange
2603:1036:800::/38,whitelist,office365,exchange
2603:1036::/39,whitelist,office365,exchange
2603:1036:c00::/40,whitelist,office365,exchange
2603:1037::/48,whitelist,office365,skype
2603:1039:1001::/48,whitelist,office365,sharepoint
2603:1039:100::/48,whitelist,office365,skype
2603:1039:e01::/48,whitelist,office365,sharepoint
2603:1040:200::111/128,whitelist,office365,common
2603:1040:200::325/128,whitelist,office365,common
2603:1040:200::4f3/128,whitelist,office365,common
2603:1040:400::2f4/128,whitelist,office365,common
2603:1040:400::5d/128,whitelist,office365,common
2603:1040:400::5e/128,whitelist,office365,common
2603:1040:400::7b/128,whitelist,office365,common
2603:1040:401::57/128,whitelist,office365,common
2603:1040:401::597/128,whitelist,office365,common
2603:1040:401::762/128,whitelist,office365,common
2603:1040:401::c/128,whitelist,office365,common
2603:1040:601::1e7/128,whitelist,office365,common
2603:1040:601::26f/128,whitelist,office365,common
2603:1040:601::2f/128,whitelist,office365,common
2603:1040:601::36c/128,whitelist,office365,common
2603:1040:601::4e/128,whitelist,office365,common
2603:1040:601::60f/128,whitelist,office365,common
2603:1040:a01::1e/128,whitelist,office365,common
2603:1040:c01::28/128,whitelist,office365,common
2603:1040:e00:1::2f/128,whitelist,office365,common
2603:1040:f00::1f/128,whitelist,office365,common
2603:1046:900::/40,whitelist,office365,exchange
2603:1046::/37,whitelist,office365,exchange
2603:1047:100::/64,whitelist,office365,common
2603:1047::/48,whitelist,office365,skype
2603:1049:100::/48,whitelist,office365,skype
2603:1050:1::cd/128,whitelist,office365,common
2603:1056:400::/40,whitelist,office365,exchange
2603:1056:600::/40,whitelist,office365,exchange
2603:1056::/40,whitelist,office365,exchange
2603:1057::/48,whitelist,office365,skype
2603:1096:400::/40,whitelist,office365,exchange
2603:1096:600::/40,whitelist,office365,exchange
2603:1096::/38,whitelist,office365,exchange
2603:1096:a00::/39,whitelist,office365,exchange
2603:1096:c00::/40,whitelist,office365,exchange
2603:10a6:200::/40,whitelist,office365,exchange
2603:10a6:400::/40,whitelist,office365,exchange
2603:10a6:600::/40,whitelist,office365,exchange
2603:10a6:800::/40,whitelist,office365,exchange
2603:10d6:200::/40,whitelist,office365,exchange
2620:1ec:40::/42,whitelist,office365,skype
2620:1ec:42::/48,whitelist,office365,skype
2620:1ec:4::152/128,whitelist,office365,exchange
2620:1ec:4::153/128,whitelist,office365,exchange
2620:1ec:6::/48,whitelist,office365,skype
2620:1ec:8f0::/46,whitelist,office365,exchange
2620:1ec:8f8::/46,whitelist,office365,sharepoint
2620:1ec:8fc::6/128,whitelist,office365,common
2620:1ec:900::/46,whitelist,office365,exchange
2620:1ec:908::/46,whitelist,office365,sharepoint
2620:1ec:a92::150/128,whitelist,office365,sharepoint
2620:1ec:a92::152/128,whitelist,office365,exchange
2620:1ec:a92::153/128,whitelist,office365,exchange
2620:1ec:a92::171/128,whitelist,office365,common
2620:1ec:c::10/128,whitelist,office365,exchange
2620:1ec:c::11/128,whitelist,office365,exchange
2620:1ec:d::10/128,whitelist,office365,exchange
2620:1ec:d::11/128,whitelist,office365,exchange
2801:80:1d0:1c00::/64,whitelist,office365,common
2a01:111:2003::/48,whitelist,office365,common
2a01:111:2005:6::/64,whitelist,office365,common
2a01:111:200a:a::/64,whitelist,office365,common
2a01:111:202c::/48,whitelist,office365,common
2a01:111:202d::/48,whitelist,office365,common
2a01:111:202e::/48,whitelist,office365,common
2a01:111:202e::156/128,whitelist,office365,common
2a01:111:202e::190/128,whitelist,office365,common
2a01:111:202e::191/128,whitelist,office365,common
2a01:111:2035:8::/64,whitelist,office365,common
2a01:111:203e:2::/64,whitelist,office365,skype
2a01:111:f100:1002::4134:c0cb/128,whitelist,office365,common
2a01:111:f100:1002::4134:c440/128,whitelist,office365,common
2a01:111:f100:1002::4134:d93c/128,whitelist,office365,common
2a01:111:f100:1002::4134:d9ee/128,whitelist,office365,common
2a01:111:f100:1003::4134:3644/128,whitelist,office365,common
2a01:111:f100:1003::4134:36d5/128,whitelist,office365,common
